latitude,longitude,typologie,arrondissement,densite_200m,categorie_commerciale,surface_terrasse,categorie_encoded,arrondissement_encoded,cluster_hdbscan,cluster_size,cluster_persistence,combined_score
48.85774371928857,2.366566233132827,TERRASSES OUVERTES SUR TROTTOIR,75003,13,RESTAURATION,5.1,18,2,310,6.0,0.1223161047031626,0.7338966282189756
48.83282823768611,2.361089946671131,TERRASSE ESTIVALE SUR TROTTOIR FACE À LA DEVANTURE,75013,6,RESTAURATION,4.4,18,12,131,8.0,0.008339385613814405,0.06671508491051524
48.83566245258148,2.284919150466994,CONTRE TERRASSE ESTIVALE SUR STATIONNEMENT,75015,11,RESTAURATION,13.77,18,14,-1,0.0,0.0,0.0
48.84816287146532,2.2642246817504907,CONTRE TERRASSE ESTIVALE SUR TROTTOIR FACE À LA DEVANTURE,75016,6,CONTRE TERRASSE ESTIVALE SUR TROTTOIR FACE À LA DEVANTURE,16.5,6,15,0,224.0,0.0013354461910876849,0.2991399468036414
48.83628533381899,2.4079314159607934,TERRASSE ESTIVALE SUR TROTTOIR FACE À LA DEVANTURE,75012,7,RESTAURATION,6.0,18,11,143,9.0,0.0153626520717152,0.1382638686454368
48.85338188086809,2.3370398371049,TERRASSES OUVERTES SUR TROTTOIR,75006,21,RESTAURATION,9.86,18,5,117,10.0,0.0030706643227880266,0.030706643227880265
48.87975015584169,2.326836442187476,TERRASSES OUVERTES SUR TROTTOIR,75008,13,RESTAURATION,11.0,18,7,296,15.0,0.01885959578299374,0.2828939367449061
48.84903837332224,2.37836995357797,CONTRE TERRASSE ESTIVALE SUR PLACES ET TERRE-PLEIN,75012,30,CONTRE TERRASSE ESTIVALE SUR PLACES ET TERRE-PLEIN,152.0,4,11,0,224.0,0.0013354461910876849,0.2991399468036414
48.83764540306213,2.297500705210986,CONTRE TERRASSE ESTIVALE SUR STATIONNEMENT,75015,11,RESTAURATION,11.625,18,14,207,6.0,0.0020937452952125572,0.012562471771275344
48.87043888485042,2.340463093481958,CONTRE TERRASSE ESTIVALE SUR STATIONNEMENT,75002,13,RESTAURATION,8.5,18,1,300,33.0,0.0024211582860505327,0.07989822343966758
48.860328833601855,2.309530344236222,CONTRE TERRASSE ESTIVALE SUR STATIONNEMENT,75007,16,RESTAURATION,6.63,18,6,151,19.0,0.006908579203788178,0.13126300487197537
48.87009306856502,2.3060262259635493,CONTRE TERRASSE ESTIVALE SUR TROTTOIR FACE À LA DEVANTURE,75008,15,CONTRE TERRASSE ESTIVALE SUR TROTTOIR FACE À LA DEVANTURE,115.3,6,7,0,224.0,0.0013354461910876849,0.2991399468036414
48.85051645706847,2.3835633094480264,ÉTALAGE SUR TROTTOIR,75011,14,ÉTALAGE SUR TROTTOIR,0.6000000000000001,24,10,9,45.0,0.0017146504329232672,0.07715926948154703
48.85687499700801,2.404687062829108,CONTRE TERRASSE SUR TROTTOIR,75020,8,CONTRE TERRASSE SUR TROTTOIR,14.8,7,19,0,224.0,0.0013354461910876849,0.2991399468036414
48.86674155294485,2.28035862787271,TERRASSES OUVERTES SUR TROTTOIR,75116,6,RESTAURATION,2.6599999999999997,18,20,-1,0.0,0.0,0.0
48.87153866876681,2.322393552144888,CONTRE TERRASSE ESTIVALE SUR TROTTOIR FACE À LA DEVANTURE,75008,10,CONTRE TERRASSE ESTIVALE SUR TROTTOIR FACE À LA DEVANTURE,9.6,6,7,0,224.0,0.0013354461910876849,0.2991399468036414
48.88921445306512,2.32631430081084,TERRASSE ESTIVALE SUR TROTTOIR FACE À LA DEVANTURE,75018,6,RESTAURATION,6.255,18,17,-1,0.0,0.0,0.0
48.869901633094806,2.370528528984165,TERRASSE ESTIVALE SUR TROTTOIR FACE À LA DEVANTURE,75010,10,RESTAURATION,7.6499999999999995,18,9,305,8.0,0.001767013057743685,0.01413610446194948
48.84478635417299,2.402534742539853,TERRASSE ESTIVALE SUR TROTTOIR FACE À LA DEVANTURE,75012,7,RESTAURATION,5.25,18,11,-1,0.0,0.0,0.0
48.854896626030914,2.2695121413274304,CONTRE TERRASSE ESTIVALE SUR STATIONNEMENT,75016,6,RESTAURATION,18.56,18,15,106,9.0,0.003587234794727926,0.03228511315255134
