typologie,adresse,arrondissement,nom_enseigne,nom_societe,siret,longueur,largeur,periode_installation,lien_affichette,geo_shape,geo_point_2d
TERRASSE FERMÉE,186 RUE DE CRIMEE,75019,MADEDDU IGNAZIO,,31859524600022,6.0,1.2,,https://eudonet-terrasses.apps.paris.fr/xrm/at?tok=D6B73972&cs=yUZEpjDcLmM4cArTiYVmgUJx2uOYSAiWq6i9LyVi6ymQuaSYw5PQ-O8Y3Jg0rlmqa1BfPLkyYAc%3d&p=chMOZL_3S4WBRSVjzjYbudFSBIhqmP8jF0alA8KLLyK_8COSzs37dGlGugmMis34yfFPv1sn8sY%3d&mdinline=attch,"{'type': 'Feature', 'geometry': {'coordinates': [2.3765070729080704, 48.89101538070927], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3765070729080704, 'lat': 48.89101538070927}"
ETALAGE,80 RUE DE RIVOLI,75004,LA BRIOCHE DOREE,,31890659101536,3.5,1.55,,https://eudonet-terrasses.apps.paris.fr/xrm/at?tok=D6B73972&cs=yUZEpjDcLmM4cArTiYVmgQv3xb42jQlFEMPqFNe9wLVm5Jy_mvJmWhrS9lrHsg989Z1Lp9i8T_M%3d&p=chMOZL_3S4XGJQayF6V1YEc_GB_xQ67Uv51bSViENYeF3uKJ4HPPPuTyI4PWgP9GZ-MjqCkKQzo%3d&mdinline=attch,"{'type': 'Feature', 'geometry': {'coordinates': [2.3506633962850483, 48.8578364052782], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3506633962850483, 'lat': 48.8578364052782}"
ETALAGE,324 RUE LECOURBE,75015,CHAMBAULT FUNERAIRE,,32247319000021,4.0,0.8,,https://eudonet-terrasses.apps.paris.fr/xrm/at?tok=D6B73972&cs=yUZEpjDcLmM4cArTiYVmgbZNwEUU-d0bYArRiesHMusbUR1C0dCmDVmM3HLS2D-hZG9-YQnR52E%3d&p=chMOZL_3S4WBRSVjzjYbuZ7-SOUILeFkNFgBsAU7xVVfvwJrTBZjFRUvheyeGqOfA5ni3NiyNEo%3d&mdinline=attch,"{'type': 'Feature', 'geometry': {'coordinates': [2.285218177011281, 48.837521608890896], 'type': 'Point'}, 'properties': {}}","{'lon': 2.285218177011281, 'lat': 48.837521608890896}"
TERRASSE FERMÉE,2 RUE ABEL HOVELACQUE,75013,LA MANUFACTURE,,32353185500019,13.08,0.7,,https://eudonet-terrasses.apps.paris.fr/xrm/at?tok=D6B73972&cs=yUZEpjDcLmM4cArTiYVmge3IQBEFrHb_lUB6HxHggcUYmHHSSveyxbuaIFM4Mddhc82azYWnf_E%3d&p=chMOZL_3S4Vd7FEjAQ0taEXu-SNARklFRzXT7DW7GPn2VZeLHkk_YAEbs47zhU7v5V8p6U_7rrw%3d&mdinline=attch,"{'type': 'Feature', 'geometry': {'coordinates': [2.3539015578795897, 48.833251242048945], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3539015578795897, 'lat': 48.833251242048945}"
ETALAGE,339 RUE DES PYRENEES,75020,ANGELICI SERGE,,32478289500019,6.0,1.2,,https://eudonet-terrasses.apps.paris.fr/xrm/at?tok=D6B73972&cs=yUZEpjDcLmM4cArTiYVmgbgDNTwEKPX1OdZdC9Nt34k0qSFyhkrwrk_A3Adq_s4kNaNDSnCU-VY%3d&p=chMOZL_3S4WKDQ2J-0IW84EpjZOGtGKgCnnpWbyOCNpBSrZMoxVtSuZM-iTYeC4LaPNaOO3ytRk%3d&mdinline=attch,"{'type': 'Feature', 'geometry': {'coordinates': [2.3923054428147554, 48.87151501577075], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3923054428147554, 'lat': 48.87151501577075}"
ETALAGE,75 BOULEVARD DE SEBASTOPOL,75002,SOUS LE PARASOL,,32603693600010,4.5,2.0,,https://eudonet-terrasses.apps.paris.fr/xrm/at?tok=D6B73972&cs=yUZEpjDcLmM4cArTiYVmgYgw3fGOduxa2D91Qffj-JnwmJPgtO_0YtZG2kXZ-0MTEcFjVXz-vz0%3d&p=chMOZL_3S4UGFsyyUE04Cuytj8ZfpzB7zAlNFc_Y-OtXr3bR7enGK4XcDab4DpnRecCaxtOfYOs%3d&mdinline=attch,"{'type': 'Feature', 'geometry': {'coordinates': [2.3510739790502346, 48.863997127736525], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3510739790502346, 'lat': 48.863997127736525}"
ETALAGE,2 RUE REBEVAL,75019,WING SENG,,32818666300014,16.0,3.0,,https://eudonet-terrasses.apps.paris.fr/xrm/at?tok=D6B73972&cs=yUZEpjDcLmM4cArTiYVmgU1__wdPPgmDeL_uPz71tMcmcEUJ5muWtjoHKHZXoztUKunhnVJTSCU%3d&p=chMOZL_3S4VhpAHpAPoNMJ8645NyErw-cD71_VvYZjFO9KrFRub9onivMbjSY9QW6CV-dJ3l86Y%3d&mdinline=attch,"{'type': 'Feature', 'geometry': {'coordinates': [2.375449117496172, 48.87383337850379], 'type': 'Point'}, 'properties': {}}","{'lon': 2.375449117496172, 'lat': 48.87383337850379}"
ETALAGE,19 RUE DE JESSAINT,75018,BOUCHERIE MARHABA,,32908864500018,6.32,0.56,,https://eudonet-terrasses.apps.paris.fr/xrm/at?tok=D6B73972&cs=yUZEpjDcLmM4cArTiYVmgU1__wdPPgmDXEZeTCymn_VTBBZL_AKlZY59tqaqHrdvdtCDmdrlX9k%3d&p=chMOZL_3S4VhpAHpAPoNMJV1B_ZAJ0gHzI-fR9dvVALKNij8aU77AUX0uOx8o2Csz8syNzQ08ow%3d&mdinline=attch,"{'type': 'Feature', 'geometry': {'coordinates': [2.3562113117121353, 48.88489262691802], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3562113117121353, 'lat': 48.88489262691802}"
ETALAGE,28 RUE DE LA CROIX NIVERT,75015,AGOUZZAL MHAMED,,32985303000024,1.6,0.7,,https://eudonet-terrasses.apps.paris.fr/xrm/at?tok=D6B73972&cs=yUZEpjDcLmM4cArTiYVmgU1__wdPPgmDT1tgYOyaNW2X0mqzUmhZJuATpdjTWEWA5ut87Qg4J6I%3d&p=chMOZL_3S4VhpAHpAPoNMPoeMhLh_aFRkYUurLTVE1hknYOAfosxo-pfFT9tp7lUqk8Sbbzas5s%3d&mdinline=attch,"{'type': 'Feature', 'geometry': {'coordinates': [2.2995092160444215, 48.84660484843957], 'type': 'Point'}, 'properties': {}}","{'lon': 2.2995092160444215, 'lat': 48.84660484843957}"
ETALAGE,3 RUE DU PONT LOUIS PHILIPPE,75004,WIPFLER NATHALIE NÉE BERNARD,,33122986400011,3.0,0.8,,https://eudonet-terrasses.apps.paris.fr/xrm/at?tok=D6B73972&cs=yUZEpjDcLmM4cArTiYVmgYXBZ7w7lF3aMrD4o1apAxIZXCAL0-ztg0tnhBEWaRS19j7MTcLIpKk%3d&p=chMOZL_3S4UGFsyyUE04CgdRfmdjScLysy4yjeO2aFHZDYOyl9UcAfppQUZjlHfI1RtTcEUwiRA%3d&mdinline=attch,"{'type': 'Feature', 'geometry': {'coordinates': [2.355279361411529, 48.85482233689091], 'type': 'Point'}, 'properties': {}}","{'lon': 2.355279361411529, 'lat': 48.85482233689091}"
