typologie,adresse,arrondissement,nom_enseigne,nom_societe,siret,longueur,largeur,periode_installation,lien_affichette,geo_shape,geo_point_2d,latitude,longitude
TERRASSES OUVERTES SUR TROTTOIR,61 RUE SAINT ANTOINE,75004,CHEZ TONTON,,80462400000000.0,5.2,1.5,,,"{'type': 'Feature', 'geometry': {'coordinates': [2.3638267232004435, 48.85413941865737], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3638267232004435, 'lat': 48.85413941865737}",48.85413941865737,2.3638267232004435
TERRASSES OUVERTES SUR TROTTOIR,2 RUE FELIBIEN,75006,MORDU SAINT GERMAIN DES PRÉS,,82103600000000.0,11.5,0.7,,,"{'type': 'Feature', 'geometry': {'coordinates': [2.3365770801456445, 48.852391758741966], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3365770801456445, 'lat': 48.852391758741966}",48.852391758741966,2.3365770801456445
TERRASSE ESTIVALE SUR TROTTOIR FACE À LA DEVANTURE,4 SQUARE VERMENOUZE,75005,LAMIAN LATIAN,,93013400000000.0,3.0,2.2,,,"{'type': 'Feature', 'geometry': {'coordinates': [2.3491671177335216, 48.84077400512997], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3491671177335216, 'lat': 48.84077400512997}",48.84077400512997,2.3491671177335216
TERRASSE ESTIVALE SUR TROTTOIR FACE À LA DEVANTURE,194 AVENUE DE CHOISY,75013,MCDONALD'S,,78879000000000.0,5.6,1.65,,,"{'type': 'Feature', 'geometry': {'coordinates': [2.3566418009089416, 48.83069714361296], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3566418009089416, 'lat': 48.83069714361296}",48.83069714361296,2.3566418009089416
CONTRE TERRASSE ESTIVALE SUR TROTTOIR FACE À LA DEVANTURE,1 RUE XAINTRAILLES,75013,LE GORILLE,,98163700000000.0,3.3,1.2,,https://eudonet-terrasses.apps.paris.fr/xrm/at?tok=D6B73972&cs=yUZEpjDcLmM4cArTiYVmgbFk-LihySZeKKZXz32AvZ4fmSkqUqk-XAaSK20Aatdfg0qWp9BbWEo%3d&p=chMOZL_3S4Ug2r2jgAYGLOd60S24pBrggZnSUlqaK3l76B3PCWyEuL4g2FLhrP3YOvMvizVq8xw%3d&mdinline=attch,"{'type': 'Feature', 'geometry': {'coordinates': [2.371265285768177, 48.829579520832695], 'type': 'Point'}, 'properties': {}}","{'lon': 2.371265285768177, 'lat': 48.829579520832695}",48.829579520832695,2.371265285768177
CONTRE TERRASSE ESTIVALE SUR TROTTOIR FACE À LA DEVANTURE,9 BOULEVARD EDGAR QUINET,75014,STAND,,53852500000000.0,9.4,2.2,,https://eudonet-terrasses.apps.paris.fr/xrm/at?tok=D6B73972&cs=yUZEpjDcLmM4cArTiYVmgTuLaT0X-mCG4q9f_9hx1100F4V3nBd-qvYrCRVeABW1g4dX3eBq0S0%3d&p=chMOZL_3S4XGJQayF6V1YDLcndypnhSkitmqdvZHebp97r52fwmASnbvrUsC7dauzH9A9DOxzA4%3d&mdinline=attch,"{'type': 'Feature', 'geometry': {'coordinates': [2.3251401353611545, 48.84091463896682], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3251401353611545, 'lat': 48.84091463896682}",48.84091463896682,2.3251401353611545
CONTRE TERRASSE ESTIVALE SUR STATIONNEMENT,17 RUE BREA,75006,CREPERIE DU VIEUX JOURNAL,,92404600000000.0,4.0,1.7,,,"{'type': 'Feature', 'geometry': {'coordinates': [2.330042322475743, 48.84302087879392], 'type': 'Point'}, 'properties': {}}","{'lon': 2.330042322475743, 'lat': 48.84302087879392}",48.84302087879392,2.330042322475743
TERRASSES OUVERTES SUR TROTTOIR,46 RUE DES VIGNOLES,75020,DANDELION,,98091000000000.0,6.35,2.1,,https://eudonet-terrasses.apps.paris.fr/xrm/at?tok=D6B73972&cs=yUZEpjDcLmM4cArTiYVmgToakbK1FSD7SnobM84fe-DtxxIzAIGnRqWXdxPs4spw2-DzXIufWVI%3d&p=chMOZL_3S4U6_ClyaDcu1ct8di04aa-t135GDdc8mbA5_zM59CnR0lFketzLlppeRbRkVli2VPI%3d&mdinline=attch,"{'type': 'Feature', 'geometry': {'coordinates': [2.4006008109268873, 48.854429847648944], 'type': 'Point'}, 'properties': {}}","{'lon': 2.4006008109268873, 'lat': 48.854429847648944}",48.854429847648944,2.4006008109268873
TERRASSE ESTIVALE SUR TROTTOIR FACE À LA DEVANTURE,11 RUE DE MOSCOU,75008,LA PUTTANESCA,,98249200000000.0,10.0,1.0,,,"{'type': 'Feature', 'geometry': {'coordinates': [2.3254448241215484, 48.88033393477926], 'type': 'Point'}, 'properties': {}}","{'lon': 2.3254448241215484, 'lat': 48.88033393477926}",48.88033393477926,2.3254448241215484
ÉTALAGE SUR TROTTOIR,140 RUE DU FAUBOURG SAINT ANTOINE,75012,BOULANGERIE OUNISSI,,81388100000000.0,2.95,0.8,,,"{'type': 'Feature', 'geometry': {'coordinates': [2.379562986925973, 48.85044892916277], 'type': 'Point'}, 'properties': {}}","{'lon': 2.379562986925973, 'lat': 48.85044892916277}",48.85044892916277,2.379562986925973
